"Cluster name","$z$","Survey","RA (deg)","Dec (deg)"
"MACS J1720.3+3536","0.391","CLASH","260.070000","35.607500"
"MACS J1931.8-2634","0.352","CLASH","292.956667","-26.575833"
"MACS J2129.4-0741","0.587","CLASH","322.358333","-7.691111"
"MACS J1149.5+2233","0.397","RELICS","177.399167","22.398611"
"MKW 3s","0.0442","LoVoCCS","230.460000","7.710000"
"MS1008.1-1224","0.306","RELICS, SuperBIT","152.608348","-12.652938"
"MS2137.3-2353","0.313","CLASH, SuperBIT","325.061322","-23.660311"
"PLCK G004.5-19.5","0.54","RELICS","289.270833","-33.522222"
"PLCK G171.9-40.7","0.27","RELICS","48.2375","8.371944"
"PLCK G287.0+32.9","0.54","RELICS, SuperBIT","177.706395","-28.084443"
"PSZ2 G209.79+10.23","0.677","RELICS","110.595833","7.408333"
"RBS 0540","0.0397","LoVoCCS","66.460000","-8.560000"
"RBS 1847","0.0951","LoVoCCS","334.520000","-65.190000"
"RXC J0821.0+0751","0.11","LoVoCCS","125.260000","7.870000"
"RXC J0018.5+1626","0.546","RELICS","4.641667","16.43333"
"RXC J0032.1+1808","0.396","RELICS","8.033333","18.153611"
"RXC J0142.9+4438","0.341","RELICS","25.720833","44.638889"
"RXC J0232.2-4420","0.284","RELICS","38.075","-44.361111"
"RXC J0600.1-2007","0.46","RELICS","90.062500","-20.124167"
"RXC J1314.4-2515","0.2439","SuperBIT","198.635673","-25.268482"
"RXC J1514.9-1523","0.223","SuperBIT","228.764180","-15.367611"
"RXC J2003.5-2323","0.317","SuperBIT","300.887226","-23.400219"
"RXC J0034.2-0204","0.0822","LoVoCCS","8.560000","-2.080000"
"RXC J0034.6-0208","0.0812","LoVoCCS","8.650000","-2.140000"
"RXC J0049.4-2931","0.1084","LoVoCCS","12.350000","-29.520000"
"RXC J0351.1-8212","0.0613","LoVoCCS","57.790000","-82.220000"
"RXC J1139.4-3327","0.1076","LoVoCCS","174.860000","-33.450000"
"RXC J1215.4-3900","0.119","LoVoCCS","183.870000","-39.020000"
"RXC J1217.6+0339","0.0766","LoVoCCS","184.420000","3.660000"
"RXC J1332.9-2519","0.1199","LoVoCCS","203.230000","-25.320000"
"RXC J1416.8-1158","0.0982","LoVoCCS","214.210000","-11.980000"
"RXC J1459.0-0843","0.1043","LoVoCCS","224.760000","-8.730000"
"RXC J1532.9+3021","0.345","CLASH","233.224167","30.350000"
"RXC J1539.5-8335","0.0728","LoVoCCS","234.890000","-83.590000"
"RXC J1558.3-1410","0.097","LoVoCCS","239.600000","-14.170000"
"RXC J2125.2-0657","0.1153","LoVoCCS","321.300000","-6.970000"
"RXC J2218.2-0350","0.0901","LoVoCCS","334.570000","-3.830000"
"RXC J2313.9-4244","0.0564","LoVoCCS","348.490000","-42.730000"
"RXC J2344.2-0422","0.0786","LoVoCCS","356.070000","-4.370000"
"RX J1347.5−1145","0.451","CLASH, SuperBIT","206.872788","-11.745483"
"RX J2129.7+0005","0.234","CLASH","322.418750","0.096389"
"RXS J060313.4+4212","0.228","RELICS","206.877083","-11.751944"
"SMACSJ0723.3-7327","0.39","RELICS, SuperBIT","110.857306","-73.436717"
"SMACSJ2031.8-4036","0.331","SuperBIT","307.967471","-40.618236"
"SPT-CL J0615-5746","0.972","RELICS","93.98333","-57.76389"
"WHLJ013719.8-082841","0.566","RELICS","24.354167","-8.456944"
"Z20-SPT-CLJ0135-5904","0.49","SuperBIT","23.975921","-59.101692"
"ZwCl 0947+1723","0.383","RELICS","147.465833","17.118056"
