wavelength,transmission
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.00013908442334304068
352,0.0005691267636047855
353,0.0009991691038665302
354,0.0014292114441282753
355,0.0018592537843900201
356,0.0022892961246517647
357,0.0027193384649135096
358,0.0031493808051752544
359,0.0035794231454369992
360,0.004009465485698744
361,0.004439507825960489
362,0.004869550166222233
363,0.0052995925064839786
364,0.005729634846745724
365,0.006159677187007468
366,0.0065897195272692135
367,0.007019761867530958
368,0.007449804207792703
369,0.007879846548054448
370,0.008309888888316193
371,0.01733369324548283
372,0.35
373,0.41443422735663327
374,0.5191874483071116
375,0.5769904786101442
376,0.6423376692667105
377,0.7136831238121636
378,0.7947313620303618
379,0.8491387088246826
380,0.8639892801695401
381,0.8757113873705688
382,0.8835480480632709
383,0.8913847087559731
384,0.8969853186458974
385,0.9021960722184273
386,0.9074068257909574
387,0.9126175793634875
388,0.9178283329360175
389,0.9230390865085476
390,0.9282498400810778
391,0.9334605936536078
392,0.9364966796419572
393,0.9367292377814921
394,0.9369617959210269
395,0.937194354060562
396,0.9379302294536176
397,0.9394797574872807
398,0.9410292855209437
399,0.9425788135546068
400,0.94412834158827
401,0.9469082120887663
402,0.9504169233970993
403,0.9539256347054323
404,0.9574343460137653
405,0.9609430573220983
406,0.9616960037714365
407,0.9611101166631031
408,0.9605242295547695
409,0.9599383424464358
410,0.9593524553381023
411,0.9587665682297687
412,0.9581806811214352
413,0.9575947940131015
414,0.9570089069047679
415,0.9564230197964345
416,0.9544060814384578
417,0.9514898235235375
418,0.9485735656086175
419,0.9456573076936973
420,0.9427410497787769
421,0.9387970447603509
422,0.9345355330314196
423,0.9302740213024882
424,0.9260125095735569
425,0.9217509978446256
426,0.9278659659529164
427,0.9368160425896582
428,0.9440041479486715
429,0.9473805929892284
430,0.9507570380297853
431,0.9541334830703423
432,0.9575099281108992
433,0.9598056282385911
434,0.9586196424559129
435,0.9574336566732348
436,0.9562476708905566
437,0.9550616851078786
438,0.9538756993252006
439,0.9526897135425224
440,0.9515037277598444
441,0.9516980401144162
442,0.952274711829597
443,0.9528513835447778
444,0.9534280552599586
445,0.9540047269751395
446,0.9545813986903202
447,0.955158070405501
448,0.9557347421206819
449,0.9563114138358627
450,0.9568880855510434
451,0.9576056186756874
452,0.9585746595709912
453,0.9595437004662952
454,0.960512741361599
455,0.9614817822569028
456,0.9624508231522068
457,0.9634909205843758
458,0.9649163783001561
459,0.9663418360159364
460,0.9677672937317167
461,0.9691927514474971
462,0.9706182091632773
463,0.9720436668790576
464,0.9686442321645188
465,0.9650126532171504
466,0.9613810742697819
467,0.9577494953224136
468,0.9541179163750452
469,0.9524178385786706
470,0.9542215452786779
471,0.9560252519786853
472,0.9578289586786927
473,0.9596326653787
474,0.9614363720787074
475,0.9632400787787148
476,0.965043785478722
477,0.9668474921787295
478,0.9686511988787367
479,0.9702308984464848
480,0.9684848635613842
481,0.9667388286762835
482,0.964992793791183
483,0.9632467589060822
