a_name,a_alt_name,a_ra,a_dec,a_redshift,a_lx_500,a_mass_500,a_radius_500,b_name,b_science_case,b_ra,b_dec,b_z,b_l,b_b,a_lx_ratio_cat_4,a_lx_ratio_cat_3,a_lx_ratio_cat_2,a_lx_ratio_cat_1,a_overlap_cat_4,a_overlap_cat_3,a_overlap_cat_2,a_overlap_cat_1,a_notes,a_linear_scale_factor,a_sub_catalog_name,a_catalog_name,a_bii,a_lii,a_other_names,_delta_ab
MCXC J0035.4-2015,MACS J0035.4-2015,00 35 26.2,-20 15 46,0.352,1.19e+45,1020000000000000.0,1.35,MACSJ0035d4m2015,Merging Clusters,00 35 24.0,-20 16 15,0.35,93.9367,-82.2233,,,,,,,,,,4.958,MACS_BRIGHT,MACS,-82.2201,94.0204,,0.7056
MCXC J0217.2-5244,RXC J0217.2-5244,02 17 12.6,-52 44 49,0.3432,1.098696e+45,683710000000000.0,1.1893,MACSJ0217d2m5244,Merging Clusters,02 17 15.0,-52 45 38,0.34,276.8284,-59.8001,,,,,,,,,,4.877,REFLEX,NORAS/REFLEX,-59.8143,276.8201,,0.8907
MCXC J0257.6-2209,MACS J0257.6-2209,02 57 41.3,-22 09 14,0.322,6.225947e+44,587880000000000.0,1.14,MACSJ0257d6m2209,Exotic Lens,02 57 41.1,-22 09 18,0.32,210.0714,-60.9629,,,,,,,,,,4.675,MACS_MJFV,MACS,-60.9618,210.07,MCS J0257.6-2209,0.0816
MCXC J0417.5-1154,MACS J0417.5-1154,04 17 34.3,-11 54 27,0.443,2.91e+45,2210000000000000.0,1.69,MACSJ0417d5m1154,"Merging Clusters, Exotic Lens",04 17 37.0,-11 53 45,0.44,205.9359,-39.4641,,,,,,,,,,5.708,MACS_BRIGHT,MACS,-39.479,205.9435,,0.9612
MCXC J0429.5-0253,MACS J0429.6-0253,04 29 36.0,-02 53 06,0.399,1.0526208e+45,608820000000000.0,1.12,MACSJ0429d6m0253,Merging Clusters,04 29 36.0,-02 53 08,0.4,197.8388,-32.5889,,,,,,,,,,5.365,MACS_MJFV,MACS,-32.5885,197.8384,MCS  J0429.6-0253,0.0306
MCXC J0451.9+0006,MACS J0451.9+0006,04 51 54.4,00 06 19,0.43,6.748492e+44,410010000000000.0,0.97,MACSJ0451d9p0006,Merging Clusters,04 51 55.0,00 06 15,0.43,198.1508,-26.267,,,,,,,,,,5.61,MACS_MJFV,MACS,-26.2685,198.1483,MCS  J0451.9+0006,0.1622
MCXC J0520.7-1328,MACS J0520.7-1328,05 20 42.2,-13 28 47,0.336,7.9e+44,630000000000000.0,1.16,MACSJ0520d7m1328,Exotic Lens,05 20 42.0,-13 28 50,0.34,215.2591,-26.1084,,,,,,,,,,4.809,MACS_BRIGHT,MACS,-26.1073,215.2586,,0.0717
MCXC J0949.8+1707,RXC J0949.8+1707,09 49 52.8,17 07 47,0.3826,1.468912e+45,790370000000000.0,1.2295,MACSJ0949d8p1708,Exotic Lens,09 49 50.9,17 07 15,0.38,216.6312,47.0105,,,1.039,0.681,,,eBCS,MACS_MJFV,,5.228,NORAS,NORAS/REFLEX,47.0209,216.6233,RX J0949.8+1708,0.7004
MCXC J1115.8+0129,RXC J1115.8+0129,11 15 54.0,01 29 44,0.3499,1.2258363e+45,726960000000000.0,1.2108,MACSJ1115d9p0129,Merging Clusters,11 15 52.0,01 29 57,0.35,257.1133,55.6261,,,1.144,0.685,,,MACS_BRIGHT,eBCS,B,4.939,REFLEX,NORAS/REFLEX,55.6287,257.1288,ZwCl3959,0.5469
MCXC J1206.2-0848,RXC J1206.2-0848,12 06 12.5,-08 48 22,0.4414,1.758485e+45,840190000000000.0,1.2266,MACSJ1206d2m0847,"Merging Clusters, Exotic Lens",12 06 12.0,-08 48 02,0.44,284.3968,52.4357,,,,1.216,,,,MACS_BRIGHT,,5.696,REFLEX,NORAS/REFLEX,52.4309,284.4027,,0.3586
MCXC J1311.0-0310,MACS J1311.0-0310,13 11 01.9,-03 10 36,0.494,7.240105e+44,415240000000000.0,0.95,MACSJ1311d0m0310,Merging Clusters,13 11 02.0,-03 10 40,0.49,312.5537,59.3275,,,,,,,,,,6.065,MACS_MJFV,MACS,59.3286,312.5533,MCS  J1311.0-0310,0.0661
MCXC J1931.8-2634,MACS J1931.8-2634,19 31 49.7,-26 34 33,0.352,1.9639807e+45,592380000000000.0,1.13,MACSJ1931d8m2635,Merging Clusters,19 31 50.0,-26 34 34,0.35,12.577,-20.0944,,,,,,,,,,4.958,MACS_MJFV,MACS,-20.0933,12.5768,MCS  J1931.8-2635,0.0672
MCXC J2140.2-2339,MACS J2140.2-2339,21 40 15.2,-23 39 40,0.313,1.11e+45,470000000000000.0,1.06,MACSJ2140d2m2339,Merging Clusters,21 40 15.0,-23 39 46,0.31,26.4873,-46.9369,,,,0.538,,,,EMSS_2004,,4.586,MACS_BRIGHT,MACS,-46.9372,26.4898,MS2137.3-2353,0.1058
MCXC J2243.3-0935,MACS J2243.3-0935,22 43 21.4,-09 35 43,0.447,1.52e+45,1740000000000000.0,1.56,MACSJ2243d3m0935,Merging Clusters,22 43 20.0,-09 35 30,0.45,56.9393,-55.0815,,,,,,,,,,5.737,MACS_BRIGHT,MACS,-55.0883,56.9397,,0.4113
MCXC J2140.2-2339,MACS J2140.2-2339,21 40 15.2,-23 39 40,0.313,1.11e+45,470000000000000.0,1.06,MS2137m2353,Merging Clusters,21 40 15.0,-23 39 41,0.31,26.4893,-46.9366,,,,0.538,,,,EMSS_2004,,4.586,MACS_BRIGHT,MACS,-46.9372,26.4898,MS2137.3-2353,0.0472
MCXC J0528.9-3927,RXC J0528.9-3927,05 28 56.3,-39 27 46,0.2839,1.1952927e+45,754740000000000.0,1.2568,RBS653,Merging Clusters,05 28 53.0,-39 28 20,0.29,244.3754,-32.1423,,,,,,,,,X,4.286,REFLEX,NORAS/REFLEX,-32.1301,244.3667,RBS 0653,0.8528
MCXC J0658.5-5556,RXC J0658.5-5556,06 58 31.1,-55 56 49,0.2965,2.0425901e+45,1035990000000000.0,1.3902,repeat_1E0657_Bullet,Merging Clusters,06 58 27.0,-55 56 51,0.3,266.0227,-21.2568,,,,,,,,,losStr,4.418,REFLEX,NORAS/REFLEX,-21.2475,266.0252,1ES0657,0.5749
MCXC J0220.9-3829,RXC J0220.9-3829,02 20 56.6,-38 29 05,0.228,4.47685e+44,433190000000000.0,1.066,RXCJ0220d9m3829,Merging Clusters,02 20 57.0,-38 28 48,0.23,249.8249,-68.1205,,,,0.951,,,,SGP,,3.65,REFLEX,NORAS/REFLEX,-68.1198,249.8379,,0.2939
MCXC J0232.2-4420,RXC J0232.2-4420,02 32 16.8,-44 20 51,0.2836,8.499136e+44,613190000000000.0,1.1728,RXCJ0232d2m4420,Merging Clusters,02 32 18.0,-44 21 40,0.28,259.9925,-63.4414,,,,0.95,,,,SGP,B,4.283,REFLEX,NORAS/REFLEX,-63.4516,259.9709,,0.8426
MCXC J0528.2-2942,RXC J0528.2-2942,05 28 15.4,-29 42 57,0.1582,2.296714e+44,303920000000000.0,0.9708,RXCJ0528d2m2942,Merging Clusters,05 28 15.0,-29 43 03,0.16,233.2475,-30.0317,,,,,,,,,B,2.732,REFLEX,NORAS/REFLEX,-30.0299,233.2462,,0.128
MCXC J1314.4-2515,RXC J1314.4-2515,13 14 28.0,-25 15 41,0.2439,9.892675e+44,693920000000000.0,1.2401,RXCJ1314d4m2515,Merging Clusters,13 14 31.5,-25 15 57,0.25,309.4979,37.3115,,,,,,,,,,3.839,REFLEX,NORAS/REFLEX,37.3173,309.482,,0.8351
MCXC J1558.3-1410,RXC J1558.3-1410,15 58 23.2,-14 10 04,0.097,3.179797e+44,387310000000000.0,1.0745,RXCJ1558d3m1410,Merging Clusters,15 58 22.0,-14 09 58,0.1,356.5149,28.6764,,,,,,,,,B,1.795,REFLEX,NORAS/REFLEX,28.6716,356.5173,,0.3115
MCXC J2003.5-2323,RXC J2003.5-2323,20 03 30.4,-23 23 05,0.3171,8.163105e+44,582550000000000.0,1.1386,RXCJ2003d5m2323,Merging Clusters,20 03 32.0,-23 22 30,0.32,18.5643,-25.7015,,,,,,,,,,4.627,REFLEX,NORAS/REFLEX,-25.6992,18.5518,,0.6883
MCXC J2014.8-2430,RXC J2014.8-2430,20 14 49.7,-24 30 30,0.1612,9.458634e+44,718840000000000.0,1.2922,RXCJ2014d9m2430,Merging Clusters,20 14 52.0,-24 30 22,0.15,18.335,-28.5199,,,,,,,,,,2.775,REFLEX,NORAS/REFLEX,-28.5124,18.3294,,0.5366
MCXC J2043.2-2144,RXC J2043.2-2144,20 43 12.6,-21 44 06,0.2041,3.899712e+44,405560000000000.0,1.0518,RXCJ2043d2m2144,Merging Clusters,20 43 15.0,-21 44 34,0.2,23.8503,-33.8082,,,,,,,,,,3.352,REFLEX,NORAS/REFLEX,-33.7969,23.8554,,0.7239
MCXC J0437.1+0043,RXC J0437.1+0043,04 37 10.1,00 43 38,0.2842,8.094954e+44,594960000000000.0,1.1608,RXJ0437d1p0043,"Merging Clusters, Exotic Lens",04 37 09.5,00 43 52,0.29,195.383,-29.0952,,,,0.907,,,,eBCS,,4.289,REFLEX,NORAS/REFLEX,-29.0953,195.3882,RX J0437.1+0043,0.2731
MCXC J1347.5-1144,RXC J1347.5-1144,13 47 30.0,-11 44 56,0.4516,3.7304424e+45,1317790000000000.0,1.4195,RXJ1347d5m1145,Merging Clusters,13 47 31.0,-11 45 10,0.45,324.0397,48.8072,,,,1.135,,,,MACS_BRIGHT,losStr,5.771,REFLEX,NORAS/REFLEX,48.8121,324.0358,RX J1347.5-1145,0.3321
MCXC J2248.7-4431,RXC J2248.7-4431,22 48 43.5,-44 31 44,0.3475,2.7166569e+45,1183280000000000.0,1.4256,RXJ2248d7m4431,Merging Clusters,22 48 44.0,-44 31 48,0.35,349.4803,-59.9339,,,,1.077,,,,SGP,,4.917,REFLEX,NORAS/REFLEX,-59.933,349.4835,S1063,0.1102
MCXC J2031.8-4037,RXC J2031.8-4037,20 31 51.5,-40 37 14,0.3416,1.0408733e+45,662400000000000.0,1.1775,SMACSJ2031d8m4036,Exotic Lens,20 31 53.3,-40 37 31,0.33,0.7426,-35.7019,,,,,,,,,,4.862,REFLEX,NORAS/REFLEX,-35.6959,0.7474,,0.4344
