No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
92,WISEA J215839.89-601053.9,21h58m39.8914s,-60d10m53.924s,329.6662145,-60.1816458,G,22196.034005404,0.074038,SUN,27.9425460594692,2,0,18,4,1,0,0,0,0,0
93,WISEA J220535.27-600009.2,22h05m35.2751s,-60d00m09.210s,331.3969799,-60.0025584,G,28780.975345374,0.096003,PUN,27.9465414017058,1,0,32,6,1,2,0,0,1,0
94,WISEA J220158.33-602536.9,22h01m58.3367s,-60d25m36.931s,330.4930697,-60.4269254,G,30017.019649708,0.100126,SLS,28.7839379054367,2,0,28,5,3,2,0,0,1,1
95,WISEA J215938.80-593325.9,21h59m38.8094s,-59d33m25.971s,329.911706,-59.5572143,G,33854.962697024,0.112928,PUN,28.9012800793263,2,0,28,5,1,2,0,0,1,0
96,WISEA J215842.13-601332.2,21h58m42.1366s,-60d13m32.238s,329.6755692,-60.2256218,G,21946.906472806,0.073207,SUN,29.1159349772011,4,0,33,7,2,2,0,1,1,0
97,WISEA J220223.79-602544.1,22h02m23.7925s,-60d25m44.172s,330.5991358,-60.4289368,G,31727.635415056,0.105832,PUN,29.1432609141188,1,0,28,5,1,2,0,0,1,0
98,WISEA J215920.71-601855.9,21h59m20.7167s,-60d18m55.906s,329.8363196,-60.3155295,G,21416.873407062,0.071439,SUN,29.1497725264859,4,0,32,7,2,2,0,1,1,0
99,WISEA J215806.99-600350.9,21h58m06.9980s,-60d03m50.956s,329.5291584,-60.0641547,G,15787.07083828,0.05266,SUN,29.1566109324051,4,0,32,7,2,2,0,1,1,0
100,WISEA J215819.19-600841.4,21h58m19.1913s,-60d08m41.486s,329.5799639,-60.1448574,G,22095.003947058,0.073701,SUN,29.2535258899216,2,0,24,5,1,0,0,0,0,0
101,WISEA J215844.02-601505.4,21h58m44.0200s,-60d15m05.461s,329.6834167,-60.2515171,G,21365.908689202,0.071269,SUN,29.8405441648977,3,0,18,4,1,0,0,0,0,0
