No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
1,ABELL 3667,20h12m30.5000s,-56d49m55.000s,303.127083333333,-56.8319444444444,GClstr,16557.837247798,0.055231,UUN,0.0,340,9,12,24,46,0,1,0,4,0
2,WISEA J201230.76-564937.5,20h12m30.7616s,-56d49m37.535s,303.1281734,-56.8270933,G,17173.910748988,0.057286,UUN,0.293260138615041,10,0,22,5,3,0,0,0,1,0
3,[OCN2009] J201232.17-564940.2,20h12m32.1799s,-56d49m40.299s,303.13408291667,-56.82786083333,G,17262.04973164,0.05758,SLS,0.33590438167027,1,0,0,1,1,0,0,0,0,0
5,WISEA J201230.26-565017.9,20h12m30.2687s,-56d50m17.952s,303.1261198,-56.83832,G,13775.4634451,0.04595,SLS,0.383838451973536,7,0,22,5,1,0,0,0,0,0
6,SPT-CL J2012-5649,20h12m27.1680s,-56d49m50.880s,303.1132,-56.8308,GClstr,16488.58519,0.055,UUN,0.460882455963515,5,0,0,2,3,0,0,0,0,0
7,PSZRX G340.85-33.39,20h12m30.6592s,-56d50m24.234s,303.127747,-56.840065,XrayS,16668.4606648,0.0556,SST,0.487720024210176,1,0,0,1,1,0,0,0,0,0
8,IC 4965,20h12m27.3517s,-56d49m36.177s,303.1139658,-56.826716,G,16690.045721776,0.055672,UUN,0.532774349539041,44,2,43,15,11,16,1,3,5,0
10,WINGS J201224.36-564949.0,20h12m24.3676s,-56d49m49.008s,303.101532,-56.83028,G,69324.00798792,0.23124,SLS,0.844685868562453,3,0,0,2,1,0,0,0,0,0
11,ABELL 3667 NED02,20h12m30.0950s,-56d48m59.508s,303.12539591252,-56.81653012516,GClstr,29679.453342,0.099,SUN,0.926517068262195,1,0,0,1,1,0,0,0,0,0
12,ABELL 3667 NED01,20h12m30.0950s,-56d48m59.508s,303.12539591252,-56.81653012516,GClstr,16788.377648,0.056,SUN,0.926517068262195,1,0,0,1,1,0,0,0,0,0
14,2MASS J20122346-5650175,20h12m23.4693s,-56d50m17.520s,303.097789,-56.8382,G,15505.865512676,0.051722,UUN,1.03218898115871,7,0,10,2,3,0,0,0,1,0
15,WISEA J201223.06-565023.5,20h12m23.0605s,-56d50m23.552s,303.0960855,-56.8398756,G,14789.061745598,0.049331,UUN,1.12320822605164,12,0,25,3,5,2,0,0,2,0
16,WISEA J201222.06-564948.1,20h12m22.0675s,-56d49m48.159s,303.0919482,-56.8300444,G,19138.75051872,0.06384,SLS,1.15898849476619,2,0,16,2,1,0,0,0,0,0
17,WISEA J201232.16-565104.6,20h12m32.1630s,-56d51m04.629s,303.1340128,-56.8512859,G,16314.70556436,0.05442,SLS,1.18255848479692,5,0,22,5,1,0,0,0,0,0
18,WISEA J201233.01-564844.5,20h12m33.0152s,-56d48m44.501s,303.1375636,-56.8123615,G,16182.79688284,0.05398,SLS,1.22433000017041,5,0,22,5,3,0,0,0,0,0
20,WISEA J201229.91-564836.4,20h12m29.9153s,-56d48m36.402s,303.1246474,-56.8101117,G,16224.76782696,0.05412,SLS,1.31240427827832,6,0,22,5,1,0,0,0,0,0
22,WISEA J201240.63-564949.0,20h12m40.6362s,-56d49m49.080s,303.1693178,-56.8303,G,17137.935654028,0.057166,UUN,1.38991690711432,13,0,40,6,4,4,0,0,3,0
23,[OCN2009] J201233.69-565119.0,20h12m33.6900s,-56d51m19.000s,303.140375,-56.85527777778,G,17864.63257222,0.05959,SLS,1.46637218905489,1,0,0,1,1,0,0,0,0,0
24,WISEA J201242.95-564932.9,20h12m42.9541s,-56d49m32.963s,303.1789755,-56.8258232,G,16735.91396785,0.055825,UUN,1.74268248138513,10,0,37,9,5,0,0,0,0,0
25,PSZ2 G340.88-33.36,20h12m20.2164s,-56d48m53.273s,303.084235,-56.8147980555556,GClstr,16668.4606648,0.0556,UUN,1.74287963025775,4,0,0,1,1,0,0,0,0,0
27,WISEA J201218.91-565041.4,20h12m18.9191s,-56d50m41.444s,303.0788299,-56.8448457,G,15829.0417824,0.0528,SLS,1.7627391030935,7,0,18,7,3,0,0,0,0,0
28,WISEA J201222.30-564828.3,20h12m22.3010s,-56d48m28.318s,303.0929209,-56.8078663,G,16806.36519548,0.05606,SLS,1.82906866509959,2,0,22,3,1,0,0,0,0,0
29,RXGCC 816,20h12m21.3600s,-56d48m32.400s,303.089,-56.809,GClstr,16488.58519,0.055,UUN,1.85982739297861,1,0,0,1,1,0,0,0,0,0
30,WISEA J201229.51-564800.3,20h12m29.5160s,-56d48m00.332s,303.1229837,-56.8000923,G,14761.78063192,0.04924,SLS,1.91586488806749,11,0,22,5,2,0,0,0,1,0
31,WISEA J201236.78-565141.7,20h12m36.7847s,-56d51m41.744s,303.1532698,-56.8615958,G,16350.68065932,0.05454,SLS,1.97571329595862,6,0,22,5,1,0,0,0,0,0
32,WISEA J201230.86-564753.9,20h12m30.8620s,-56d47m53.941s,303.128592,-56.7983171,G,14596.89478002,0.04869,UUN,2.01824889711231,19,0,32,9,7,2,0,0,2,0
33,2MASX J20123922-5651352,20h12m39.2472s,-56d51m35.218s,303.16353,-56.859783,G,36118.99533984,0.12048,SLS,2.05432070066937,9,0,19,4,3,2,0,0,1,0
34,2MASX J20122191-5648113,20h12m21.8899s,-56d48m09.399s,303.09120791667,-56.80261083333,G,16518.864228258,0.055101,UUN,2.11791850254011,9,0,13,1,4,2,0,0,2,0
36,WISEA J201220.08-565129.9,20h12m20.0877s,-56d51m29.997s,303.0836988,-56.8583326,G,87974.0968001,0.29345,SLS,2.12920814409652,2,0,16,2,1,0,0,0,0,0
37,WISEA J201225.60-564752.1,20h12m25.6031s,-56d47m52.171s,303.1066799,-56.7978253,G,17384.065262046,0.057987,UUN,2.15402028053507,16,0,48,9,6,3,0,1,2,0
40,WISEA J201244.13-565115.4,20h12m44.1396s,-56d51m15.428s,303.1839151,-56.8542857,G,30818.6646824,0.1028,SLS,2.2967513662292,5,0,16,4,1,0,0,0,0,0
41,WISEA J201221.54-564755.8,20h12m21.5448s,-56d47m55.867s,303.0897703,-56.7988522,G,15490.27630486,0.05167,SLS,2.33321282295208,8,0,46,6,3,3,0,0,2,0
42,[BSL2004] J201220.1-564804.1,20h12m20.0599s,-56d48m03.999s,303.08358291667,-56.80111083333,G,15277.42365968,0.05096,SLS,2.33735770053484,2,0,4,1,1,0,0,0,0,0
43,WISEA J201240.73-565147.3,20h12m40.7367s,-56d51m47.364s,303.1697365,-56.8631568,G,16908.2946312,0.0564,SLS,2.33792079192253,11,0,31,8,4,2,0,0,1,0
44,WISEA J201218.59-564808.1,20h12m18.5990s,-56d48m08.159s,303.0774959,-56.8022664,G,16908.2946312,0.0564,SLS,2.41298374562905,1,0,18,3,1,0,0,0,0,0
