No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
45,WISEA J201213.05-565025.4,20h12m13.0539s,-56d50m25.491s,303.0543913,-56.8404142,G,15513.959909042,0.051749,UUN,2.43942408930654,11,0,32,7,4,2,0,1,1,0
46,WISEA J201238.71-565205.5,20h12m38.7100s,-56d52m05.580s,303.1612919,-56.8682167,G,36559.6902531,0.12195,SLS,2.4487080268343,8,0,41,8,2,1,0,0,0,0
48,WISEA J201211.13-565008.7,20h12m11.1321s,-56d50m08.723s,303.0463841,-56.8357566,G,15121.53158152,0.05044,SLS,2.65873861876502,6,0,16,4,1,0,0,0,0,0
49,WISEA J201219.50-565210.0,20h12m19.5089s,-56d52m10.013s,303.0812873,-56.8694483,G,36256.89987052,0.12094,SLS,2.70576459642517,3,0,16,2,1,0,0,0,0,0
50,WISEA J201246.64-565129.4,20h12m46.6401s,-56d51m29.470s,303.1943341,-56.8581862,G,17509.978094406,0.058407,UUN,2.71089882529261,12,0,27,6,6,2,0,0,2,1
51,WISEA J201237.69-565229.0,20h12m37.7784s,-56d52m28.848s,303.15741,-56.87468,G,30968.5609114,0.1033,SLS,2.75039322094373,7,0,16,5,2,0,0,0,0,0
52,2MASS J20121224-5651063,20h12m12.2832s,-56d51m06.120s,303.05118,-56.8517,G,17726.72804154,0.05913,SLS,2.75857697471624,6,0,8,5,2,0,0,0,0,0
53,WISEA J201212.03-564843.0,20h12m12.0487s,-56d48m42.375s,303.050203,-56.811771,G,18054.101405676,0.060222,UUN,2.7995294280143,14,0,32,7,7,2,0,1,2,0
54,WISEA J201211.49-565100.7,20h12m11.4938s,-56d51m00.717s,303.047891,-56.8501992,G,15191.083431776,0.050672,UUN,2.82028765862805,12,0,32,5,4,2,0,0,2,0
55,WISEA J201249.84-564852.5,20h12m49.8408s,-56d48m52.200s,303.20767,-56.8145,IrS,16575.52500282,0.05529,SLS,2.84543422398696,1,0,12,2,1,0,0,0,0,0
57,WISEA J201240.18-565239.3,20h12m40.2456s,-56d52m39.036s,303.16769,-56.87751,G,14761.78063192,0.04924,SLS,3.04121269861345,7,0,17,6,2,0,0,0,0,0
59,WISEA J201253.88-565000.3,20h12m53.8864s,-56d50m00.395s,303.2245269,-56.8334431,G,16986.24067028,0.05666,SLS,3.19986209813131,4,0,17,5,1,0,0,0,0,0
61,WISEA J201238.97-564650.6,20h12m38.9880s,-56d46m50.304s,303.16245,-56.78064,G,17558.84426506,0.05857,SLS,3.29019014135115,7,0,16,6,2,0,0,0,0,0
62,WISEA J201246.34-565229.6,20h12m46.3704s,-56d52m29.352s,303.19321,-56.87482,G,17942.5786113,0.05985,SLS,3.36515956264967,7,0,16,6,2,0,0,0,0,0
63,WISEA J201255.10-564938.7,20h12m55.1002s,-56d49m38.745s,303.2295843,-56.8274292,G,17328.0040724,0.0578,SLS,3.37576680875986,5,0,22,5,1,0,0,0,0,0
64,WISEA J201210.67-564751.4,20h12m10.6799s,-56d47m51.446s,303.0444999,-56.7976239,G,80152.51157088,0.26736,SLS,3.40528595029566,6,0,22,5,1,0,0,0,0,0
65,WISEA J201243.33-565301.1,20h12m43.3224s,-56d53m00.996s,303.18051,-56.88361,G,15984.93386056,0.05332,SLS,3.56104782102061,8,0,16,6,3,0,0,0,0,0
66,WISEA J201211.27-565219.8,20h12m11.1912s,-56d52m20.604s,303.04663,-56.87239,G,38163.5799034,0.1273,SLS,3.5855388768151,7,0,16,5,2,0,0,0,0,0
67,WISEA J201208.88-564751.5,20h12m08.8704s,-56d47m51.648s,303.03696,-56.79768,G,14249.13552874,0.04753,SLS,3.60368530867242,7,0,16,6,2,0,0,0,0,0
68,WISEA J201213.43-565244.8,20h12m13.4383s,-56d52m44.895s,303.0559929,-56.8791375,G,14959.6436542,0.0499,SLS,3.66833600967269,6,0,16,4,1,0,0,0,0,0
72,WINGS J201256.46-564827.9,20h12m56.4984s,-56d48m27.972s,303.23541,-56.80777,G,17981.55163084,0.05998,SLS,3.84141935587591,5,0,4,3,2,0,0,0,0,0
74,WISEA J201235.88-565350.2,20h12m35.8813s,-56d53m50.266s,303.1495057,-56.8972962,G,89128.2977634,0.2973,SLS,3.98946920714121,5,0,38,6,1,5,0,0,0,0
75,WISEA J201241.26-565342.2,20h12m41.2633s,-56d53m42.214s,303.1719308,-56.8950595,G,88123.9930291,0.29395,SLS,4.06253862567116,6,0,22,5,1,0,0,0,0,0
76,WISEA J201231.01-565359.5,20h12m31.0195s,-56d53m59.573s,303.129248,-56.8998816,G,37692.90574434,0.12573,SLS,4.07684749559991,3,0,12,3,2,0,0,0,0,0
77,WISEA J201300.68-565002.1,20h13m00.6859s,-56d50m02.157s,303.2528581,-56.8339327,G,72498.81011814,0.24183,SLS,4.13026991301983,4,0,12,4,1,0,0,0,0,0
78,WISEA J201256.00-565209.8,20h12m56.0024s,-56d52m09.866s,303.2333434,-56.8694073,G,110839.26757176,0.36972,SLS,4.14812511542188,4,0,12,4,1,0,0,0,0,0
79,WISEA J201249.52-565312.2,20h12m49.4904s,-56d53m11.364s,303.20621,-56.88649,G,17738.71973986,0.05917,SLS,4.17701080443024,7,0,18,7,3,0,0,0,0,0
81,WISEA J201241.77-564559.1,20h12m41.7741s,-56d45m59.127s,303.1740588,-56.7664243,G,18449.22786532,0.06154,SLS,4.22330992096245,9,0,23,7,3,0,0,0,0,0
82,WINGS J201226.78-565406.8,20h12m26.7772s,-56d54m06.843s,303.111572,-56.901901,G,13622.56929152,0.04544,SLS,4.22810623607291,6,0,21,5,2,1,0,0,0,0
84,WISEA J201201.54-565130.5,20h12m01.5384s,-56d51m30.348s,303.00641,-56.85843,G,17840.64917558,0.05951,SLS,4.26677089110484,8,0,16,6,3,0,0,0,0,0
85,WISEA J201201.35-564814.0,20h12m01.3523s,-56d48m14.009s,303.0056346,-56.8038916,G,16618.99490923,0.055435,UUN,4.32878202067627,12,0,48,8,3,3,0,0,1,0
86,WISEA J201259.35-564804.6,20h12m59.3539s,-56d48m04.649s,303.2473079,-56.8012916,G,14252.13345332,0.04754,SLS,4.35544430896706,8,0,21,7,3,0,0,0,0,0
87,WISEA J201211.79-565328.5,20h12m11.7624s,-56d53m28.932s,303.04901,-56.89137,G,15439.311587,0.0515,SLS,4.38983430456442,7,0,16,5,2,0,0,0,0,0
89,WISEA J201241.94-565402.4,20h12m41.9407s,-56d54m02.435s,303.1747533,-56.9006764,G,89110.31021592,0.29724,SLS,4.41030749919888,6,0,22,5,1,0,0,0,0,0
91,WISEA J201157.62-564959.4,20h11m57.6297s,-56d49m59.421s,302.9901241,-56.8331726,G,16115.943164706,0.053757,UUN,4.4963253617348,12,0,31,8,6,2,0,0,2,0
92,WISEA J201242.86-565406.2,20h12m42.8602s,-56d54m06.216s,303.1785842,-56.9017269,G,89302.17738904,0.29788,SLS,4.51477392400158,6,0,16,4,1,0,0,0,0,0
93,WISEA J201254.90-565310.6,20h12m54.9664s,-56d53m11.583s,303.229027,-56.886551,G,17482.097395812,0.058314,UUN,4.68152661366187,13,0,44,8,4,2,0,1,2,0
94,WISEA J201211.38-564557.8,20h12m11.4192s,-56d45m57.960s,303.04758,-56.7661,G,29187.79371088,0.09736,SLS,4.73609411935912,7,0,16,5,2,0,0,0,0,0
95,WISEA J201304.50-564856.2,20h13m04.5062s,-56d48m56.259s,303.2687762,-56.8156275,G,17954.57030962,0.05989,SLS,4.75409071630017,6,0,38,7,3,0,0,0,0,0
98,WINGS J201239.77-564504.2,20h12m39.7776s,-56d45m04.068s,303.16574,-56.75113,G,18731.03277584,0.06248,SLS,5.01250237140712,7,0,4,5,2,0,0,0,0,0
99,WISEA J201202.29-564642.6,20h12m02.2914s,-56d46m42.631s,303.0095475,-56.7785086,G,17007.22614234,0.05673,SLS,5.01860532916578,6,0,22,5,1,0,0,0,0,0
103,WISEA J201307.83-564829.6,20h13m07.8376s,-56d48m29.661s,303.2826568,-56.8082392,G,17786.68653314,0.05933,SLS,5.3027461192537,16,0,44,9,5,6,0,0,2,0
105,WISEA J201207.09-564536.8,20h12m07.0824s,-56d45m36.720s,303.02951,-56.7602,G,17214.08293836,0.05742,SLS,5.36735635010583,8,0,16,6,3,0,0,0,0,0
109,WISEA J201151.53-564859.5,20h11m51.5328s,-56d48m59.616s,302.96472,-56.81656,G,57446.23080196,0.19162,SLS,5.41012675875868,4,0,16,3,2,0,0,0,0,0
110,WISEA J201310.07-564945.9,20h13m10.0736s,-56d49m45.909s,303.2919734,-56.8294194,G,166264.8972068,0.5546,PUN,5.41494881459021,6,0,37,6,1,1,0,0,0,0
111,2MASX J20130542-5652292,20h13m05.4403s,-56d52m29.146s,303.272668,-56.874763,G,18880.92900484,0.06298,SLS,5.42332133282014,12,0,35,7,4,6,0,1,2,0
113,2MASS J20130778-5651550,20h13m07.7900s,-56d51m55.100s,303.28245833333,-56.86530555556,G,13454.68551504,0.04488,SLS,5.47691741588032,5,0,6,3,1,0,0,0,0,0
114,WISEA J201311.62-565034.2,20h13m11.6287s,-56d50m34.252s,303.2984529,-56.8428479,G,16680.45236312,0.05564,SLS,5.66244077424959,6,0,22,5,1,0,0,0,0,0
115,WINGS J201217.79-565524.3,20h12m17.7840s,-56d55m24.204s,303.0741,-56.92339,G,89137.29153714,0.29733,SLS,5.75514899738572,5,0,0,4,1,0,0,0,0,0
116,WISEA J201308.82-565219.2,20h13m08.8271s,-56d52m19.211s,303.2867797,-56.8720033,G,17621.80068124,0.05878,SLS,5.76435564222535,3,0,18,4,1,0,0,0,0,0
117,WISEA J201148.48-564842.4,20h11m48.5016s,-56d48m42.696s,302.95209,-56.81186,G,11545.00755758,0.03851,SLS,5.87084282989286,7,0,17,5,4,0,0,0,0,0
118,WISEA J201313.67-564944.3,20h13m13.6744s,-56d49m44.394s,303.3069769,-56.8289984,G,15921.97744438,0.05311,SLS,5.90802511015267,6,0,22,5,1,0,0,0,0,0
119,WISEA J201147.41-564911.1,20h11m47.4116s,-56d49m11.199s,302.9475486,-56.8197775,G,71302.63821072,0.23784,SLS,5.93936075945793,6,0,16,4,1,0,0,0,0,0
120,WINGS J201312.36-564807.5,20h13m12.3624s,-56d48m07.488s,303.30151,-56.80208,G,116982.01503618,0.39021,SLS,6.00170688619895,2,0,0,2,1,0,0,0,0,0
121,2MASS J20123529-5643580,20h12m35.3616s,-56d43m57.072s,303.14734,-56.73252,G,16287.72424314,0.05433,SLS,6.00250887932028,8,0,10,6,3,0,0,0,0,0
122,WISEA J201159.21-564539.2,20h11m59.2198s,-56d45m39.293s,302.9967494,-56.7609149,G,19187.916481832,0.064004,UUN,6.04163808226975,26,0,50,10,8,3,0,0,2,0
123,NFP J201215.1-565535,20h12m15.0480s,-56d55m34.750s,303.0627,-56.92631944444,G,44640.895750948,0.148906,UUN,6.04311586841031,1,0,0,1,1,0,0,0,0,0
124,WISEA J201245.60-565537.8,20h12m45.5640s,-56d55m37.704s,303.18985,-56.92714,G,14806.74950062,0.04939,SLS,6.07109622834494,8,0,16,6,3,0,0,0,0,0
125,WISEA J201308.56-564645.9,20h13m08.5392s,-56d46m45.948s,303.28558,-56.77943,G,18209.39389892,0.06074,SLS,6.08562355323958,8,0,16,6,3,0,0,0,0,0
127,WISEA J201313.98-565125.6,20h13m13.9837s,-56d51m25.627s,303.3082658,-56.8571186,G,16275.73254482,0.05429,SLS,6.13432325416551,8,0,21,7,3,0,0,0,0,0
128,WISEA J201146.12-565052.0,20h11m46.1280s,-56d50m52.296s,302.9422,-56.84786,G,14638.86572414,0.04883,SLS,6.14233556433494,7,0,16,6,2,0,0,0,0,0
130,WISEA J201258.05-564459.5,20h12m58.0512s,-56d44m59.604s,303.24188,-56.74989,G,72208.01143388,0.24086,SLS,6.20239319251631,6,0,18,6,2,0,0,0,0,0
132,WISEA J201305.28-565359.2,20h13m05.2814s,-56d53m59.221s,303.2720062,-56.8997836,G,15838.03555614,0.05283,UUN,6.25761618285837,14,0,31,8,5,2,0,0,1,0
133,WISEA J201203.83-565503.3,20h12m03.8520s,-56d55m02.892s,303.01605,-56.91747,G,18242.3710693,0.06085,SLS,6.29178355450541,8,0,16,6,3,0,0,0,0,0
134,[OCN2009] J201212.42-565545.8,20h12m12.4200s,-56d55m45.800s,303.05175,-56.92938888889,G,16629.48764526,0.05547,SLS,6.34686625619825,1,0,0,1,1,0,0,0,0,0
135,WINGS J201157.36-565428.0,20h11m57.3552s,-56d54m27.936s,302.98898,-56.90776,G,30725.72902042,0.10249,SLS,6.41891329367911,5,0,4,3,1,0,0,0,0,0
137,WISEA J201143.90-564855.5,20h11m43.9048s,-56d48m55.532s,302.9329369,-56.8154256,G,30482.89712944,0.10168,SLS,6.45100779244118,7,0,28,6,4,2,0,0,1,0
138,2CXO J201317.0-565056,20h13m17.0882s,-56d50m56.581s,303.321201015861,-56.8490503800009,XrayS,194745.1807168,0.6496,PUN,6.45275727983351,2,0,20,3,1,0,0,0,0,0
139,WINGS J201314.43-565219.1,20h13m14.4288s,-56d52m19.128s,303.31012,-56.87198,G,15999.92348346,0.05337,SLS,6.46773413130566,2,0,0,2,2,0,0,0,0,0
140,WISEA J201219.73-565613.3,20h12m19.7303s,-56d56m13.337s,303.0822096,-56.9370383,G,88540.70454572,0.29534,SLS,6.47492633082885,2,0,12,2,1,0,0,0,0,0
141,WINGS J201250.20-565548.6,20h12m50.2000s,-56d55m48.590s,303.209167,-56.930164,G,16197.78650574,0.05403,SLS,6.47846941290646,5,0,0,3,1,0,0,0,0,0
142,WINGS J201201.83-564440.7,20h12m01.8312s,-56d44m40.704s,303.00763,-56.74464,G,14240.141755,0.0475,SLS,6.54604396400887,2,0,0,2,2,0,0,0,0,0
143,WISEA J201252.56-565546.5,20h12m52.5670s,-56d55m46.565s,303.2190293,-56.9296016,G,16980.24482112,0.05664,SLS,6.58928484336696,8,0,22,7,3,0,0,0,0,0
146,WISEA J201153.60-564528.2,20h11m53.6712s,-56d45m28.620s,302.97363,-56.75795,G,15751.09574332,0.05254,SLS,6.71821534695225,4,0,16,4,2,0,0,0,0,0
147,WISEA J201313.21-564633.5,20h13m13.1400s,-56d46m34.320s,303.30475,-56.7762,G,16386.65575428,0.05466,SLS,6.72682707130589,8,0,16,6,3,0,0,0,0,0
148,WISEA J201310.17-565355.4,20h13m10.1742s,-56d53m55.413s,303.2923928,-56.8987259,G,15394.3427183,0.05135,SLS,6.74155664011904,6,0,16,4,1,0,0,0,0,0
149,WISEA J201142.10-565118.8,20h11m42.0840s,-56d51m18.756s,302.92535,-56.85521,G,18380.27559998,0.06131,SLS,6.76557430572116,7,0,12,6,3,0,0,0,0,0
151,WINGS J201140.98-564933.5,20h11m40.9800s,-56d49m33.500s,302.92075,-56.82597222222,G,30506.88052608,0.10176,SLS,6.78306511794311,3,0,0,1,1,0,0,0,0,0
152,WINGS J201146.11-565304.7,20h11m46.1280s,-56d53m04.668s,302.9422,-56.88463,G,99138.36793602,0.33069,SLS,6.83907724334231,6,0,4,4,1,0,0,0,0,0
153,WISEA J201141.45-564827.2,20h11m41.4563s,-56d48m27.236s,302.9227349,-56.8075658,G,30551.84939478,0.10191,SLS,6.86765801304877,5,0,12,4,1,0,0,0,0,0
156,WISEA J201139.63-564940.2,20h11m39.6386s,-56d49m40.291s,302.9151609,-56.8278587,G,18958.87504392,0.06324,SLS,6.96121724339366,5,0,18,5,1,0,0,0,0,0
157,WISEA J201319.18-565215.2,20h13m19.1847s,-56d52m15.234s,303.3299365,-56.8708985,G,81570.52989722,0.27209,SLS,7.05382060393839,9,0,43,9,2,0,0,0,0,0
158,WISEA J201233.06-564249.5,20h12m33.0644s,-56d42m49.560s,303.1377685,-56.7137669,G,15605.996193648,0.052056,UUN,7.09934984672619,17,0,28,9,9,2,0,1,2,1
159,WINGS J201154.88-564444.4,20h11m54.9168s,-56d44m44.196s,302.97882,-56.74561,G,16368.6682068,0.0546,SLS,7.11154116423749,8,0,4,5,3,0,0,0,0,0
160,WISEA J201156.10-564434.5,20h11m56.1069s,-56d44m34.527s,302.9837788,-56.7429244,G,17099.862011862,0.057039,SUN,7.12105635227389,12,0,31,6,4,2,0,0,2,0
161,WISEA J201144.31-565314.1,20h11m44.3184s,-56d53m14.166s,302.9346601,-56.8872684,G,16984.142123074,0.056653,UUN,7.13142144038991,10,0,31,6,3,2,0,0,1,0
162,2MASX J20131664-5653212,20h13m16.6008s,-56d53m21.044s,303.31917,-56.889179,G,16025.106049932,0.053454,SUN,7.17566004686672,10,0,19,4,3,2,0,0,2,0
164,WISEA J201142.38-565248.0,20h11m42.3811s,-56d52m48.078s,302.9265879,-56.8800217,G,17070.18255852,0.05694,SLS,7.18196280959793,7,0,12,6,3,0,0,0,0,0
165,WISEA J201323.16-564957.7,20h13m23.1639s,-56d49m57.772s,303.3465166,-56.8327146,G,15802.06046118,0.05271,UUN,7.20314287750717,11,0,31,6,5,2,0,0,2,0
166,WINGS J201138.00-565033.6,20h11m38.0208s,-56d50m33.720s,302.90842,-56.8427,G,15292.41328258,0.05101,SLS,7.20571989523918,6,0,0,5,2,0,0,0,0,0
168,WISEA J201149.12-565428.4,20h11m49.1257s,-56d54m28.446s,302.9546908,-56.9079019,G,82089.17084956,0.27382,SLS,7.26145554626809,2,0,12,2,1,0,0,0,0,0
170,WISEA J201320.47-565228.1,20h13m20.4864s,-56d52m28.272s,303.33536,-56.87452,G,16803.3672709,0.05605,SLS,7.29485687998049,8,0,16,6,3,0,0,0,0,0
171,WISEA J201142.94-564629.4,20h11m42.9415s,-56d46m29.431s,302.9289233,-56.7748421,G,30968.5609114,0.1033,SLS,7.35627835387723,5,0,12,4,1,0,0,0,0,0
173,WISEA J201313.39-564522.7,20h13m13.3910s,-56d45m22.794s,303.3057959,-56.7563317,G,16188.792732,0.054,SLS,7.42065526399939,6,0,16,4,1,0,0,0,0,0
175,WISEA J201136.13-565031.2,20h11m36.1318s,-56d50m31.277s,302.9005495,-56.8420214,G,16707.133891882,0.055729,UUN,7.45969242334729,14,0,28,9,6,2,0,1,1,0
177,WISEA J201220.82-564233.3,20h12m20.8240s,-56d42m33.316s,303.086767,-56.7092547,G,17444.92313102,0.05819,UUN,7.47978268167413,10,0,28,5,4,2,0,1,1,0
178,WISEA J201258.44-565627.6,20h12m58.4436s,-56d56m27.653s,303.2435153,-56.9410149,G,16008.9172572,0.0534,SLS,7.57573857267144,6,0,21,5,1,0,0,0,0,0
181,WISEA J201136.66-565154.7,20h11m36.7392s,-56d51m54.504s,302.90308,-56.86514,G,64113.61506788,0.21386,SLS,7.61491433697512,5,0,12,5,1,0,0,0,0,0
182,WISEA J201148.99-565502.7,20h11m48.9997s,-56d55m02.727s,302.9541656,-56.9174243,G,15232.45479098,0.05081,SLS,7.64524261110281,3,0,12,3,1,0,0,0,0,0
183,WISEA J201155.07-565551.4,20h11m55.0761s,-56d55m51.468s,302.979484,-56.9309634,G,14444.900003814,0.048183,UUN,7.66222360733181,14,0,32,9,8,2,0,1,1,1
184,WINGS J201202.26-565634.3,20h12m02.2416s,-56d56m34.116s,303.00934,-56.94281,G,14204.16666004,0.04738,SLS,7.69040563424711,6,0,0,4,3,0,0,0,0,0
185,WINGS J201255.21-565649.6,20h12m55.2100s,-56d56m49.743s,303.230042,-56.947151,G,16947.26765074,0.05653,SLS,7.69209967402954,5,0,0,3,1,0,0,0,0,0
188,[JHC2008] 067,20h11m54.7999s,-56d55m58.299s,302.97833291667,-56.93286083333,G,14689.830442,0.049,SLS,7.77436627275751,2,0,1,1,1,0,0,0,0,0
193,WISEA J201204.24-564243.6,20h12m04.2450s,-56d42m43.646s,303.0176877,-56.7121241,G,16656.46896648,0.05556,SLS,8.03874402157888,6,0,22,5,1,0,0,0,0,0
195,WISEA J201216.75-564158.6,20h12m16.7544s,-56d41m58.614s,303.0698101,-56.6996152,G,57698.05646668,0.19246,SLS,8.16006962738668,2,0,12,2,1,0,0,0,0,0
196,WISEA J201301.93-565651.9,20h13m01.9353s,-56d56m51.989s,303.2580641,-56.9477748,G,15841.03348072,0.05284,UUN,8.16877708943225,19,0,45,11,7,3,0,1,2,0
197,WISEA J201139.86-565415.8,20h11m39.8618s,-56d54m15.850s,302.9160911,-56.9044029,G,81918.2891485,0.27325,SLS,8.17173492002063,5,0,12,4,1,0,0,0,0,0
199,[OCN2009] J201303.69-565646.2,20h13m03.6900s,-56d56m46.298s,303.265375,-56.94619388889,G,19825.27524754,0.06613,SLS,8.21797011126673,1,0,0,1,1,0,0,0,0,0
200,WISEA J201136.85-565344.1,20h11m36.8400s,-56d53m44.052s,302.9035,-56.89557,G,57527.17476562,0.19189,SLS,8.26724323974947,5,0,12,5,1,0,0,0,0,0
201,WISEA J201320.87-565429.8,20h13m20.9976s,-56d54m29.448s,303.33749,-56.90818,G,30908.6024198,0.1031,SLS,8.27822077351573,7,0,16,5,2,0,0,0,0,0
