No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
1,ABELL 2384,21h52m18.9473s,-19d34m42.446s,328.0789474149,-19.57845730165,GClstr,28270.4293590057,0.0943000019,SUN,0.0,82,1,0,5,8,0,1,0,4,0
2,WISEA J215219.00-193448.7,21h52m19.0019s,-19d34m48.748s,328.0791746,-19.580208,G,27219.956016568,0.090796,UUN,0.105824098312758,1,0,19,4,1,0,0,0,0,0
3,WISEA J215221.75-193423.1,21h52m21.7566s,-19d34m23.128s,328.0906528,-19.5730913,G,28506.965038762,0.095089,UUN,0.73589578540346,3,0,42,6,2,2,0,0,1,0
4,WISEA J215219.62-193358.6,21h52m19.6280s,-19d33m58.694s,328.0817834,-19.5663039,G,29564.932623044,0.098618,UUN,0.746621333062068,1,0,19,4,1,0,0,0,0,0
5,WISEA J215222.86-193442.7,21h52m22.8667s,-19d34m42.747s,328.0952779,-19.5785409,G,26123.015412746,0.087137,UUN,0.923192216622128,2,0,28,5,2,2,0,0,1,0
6,RXGCC 865,21h52m21.6000s,-19d33m57.600s,328.09,-19.566,GClstr,28240.4495436,0.0942,UUN,0.97421054600516,1,0,0,1,1,0,0,0,0,0
7,WISEA J215214.94-193514.0,21h52m14.9481s,-19d35m14.092s,328.0622839,-19.587248,G,29787.978211796,0.099362,UUN,1.07959278895014,1,0,13,3,1,0,0,0,0,0
8,WISEA J215219.65-193557.4,21h52m19.6529s,-19d35m57.481s,328.0818874,-19.5993004,G,28575.017926728,0.095316,UUN,1.26157998931437,1,0,19,4,1,0,0,0,0,0
9,ABELL 2384A,21h52m23.8541s,-19d33m55.032s,328.09939208333,-19.56528666667,GClstr,28270.4293590057,0.0943000019,UUN,1.40012908657287,14,0,0,2,3,0,0,0,0,0
10,WISEA J215213.25-193509.1,21h52m13.2518s,-19d35m09.155s,328.0552161,-19.5858764,G,27445.100152526,0.091547,UUN,1.41345052215305,1,0,19,4,1,0,0,0,0,0
11,APMUKS(BJ) B214930.97-194724.6,21h52m17.5200s,-19d33m16.300s,328.073,-19.55452777778,G,10573.080408744,0.035268,UUN,1.47461717871263,1,0,1,2,1,0,0,0,0,0
12,WISEA J215214.22-193543.3,21h52m14.2300s,-19d35m43.600s,328.05929166667,-19.59544444444,G,28640.972267488,0.095536,UUN,1.50777042799863,1,0,12,2,1,0,0,0,0,0
13,WISEA J215221.92-193315.4,21h52m21.9262s,-19d33m15.450s,328.0913594,-19.5542917,G,70288.740117764,0.234458,UUN,1.61081288945024,1,0,12,2,1,0,0,0,0,0
14,WISEA J215220.07-193303.6,21h52m20.0766s,-19d33m03.645s,328.0836528,-19.5510127,G,27538.93519188,0.09186,UUN,1.66802587347292,2,0,19,5,2,0,0,0,0,0
15,WISEA J215224.88-193345.1,21h52m24.8895s,-19d33m45.136s,328.1037063,-19.5625379,G,28896.99502662,0.09639,UUN,1.69456116909455,1,0,19,4,1,0,0,0,0,0
16,WISEA J215218.17-193628.0,21h52m18.1763s,-19d36m28.029s,328.0757349,-19.607786,G,28584.011700468,0.095346,UUN,1.76906646601306,3,0,28,6,3,2,0,0,1,0
17,WISEA J215220.95-193259.9,21h52m20.9533s,-19d32m59.998s,328.0873058,-19.5499996,G,28608.894474482,0.095429,UUN,1.77164613022612,1,0,18,3,1,0,0,0,0,0
18,WISEA J215226.12-193408.6,21h52m26.1260s,-19d34m08.692s,328.1088586,-19.5690811,G,30001.130649434,0.100073,SLS,1.78208551102541,5,0,28,5,4,2,0,0,1,1
19,PSZRX G033.55-48.44,21h52m25.5249s,-19d33m43.592s,328.106354,-19.562109,XrayS,28270.4287894,0.0943,SST,1.8337947357672,1,0,0,1,1,0,0,0,0,0
20,APMUKS(BJ) B214932.55-194700.6,21h52m18.9800s,-19d32m51.700s,328.07908333333,-19.54769444444,G,27618.080400792,0.092124,UUN,1.84578742758197,1,0,1,2,1,0,0,0,0,0
21,WISEA J215211.08-193425.6,21h52m11.0840s,-19d34m25.627s,328.0461836,-19.5737854,G,27910.977632258,0.093101,UUN,1.87328988627646,1,0,19,4,1,0,0,0,0,0
22,WISEA J215213.08-193324.7,21h52m13.0870s,-19d33m24.742s,328.0545292,-19.5568729,G,26734.891819524,0.089178,SLS,1.89285835603858,5,0,28,6,5,2,0,0,1,1
23,WISEA J215222.48-193626.2,21h52m22.4849s,-19d36m26.234s,328.0936874,-19.6072873,G,56216.781931702,0.187519,UUN,1.92000417588433,1,0,18,4,1,0,0,0,0,0
24,WISEA J215225.44-193330.4,21h52m25.4458s,-19d33m30.422s,328.1060245,-19.5584506,G,35629.134463468,0.118846,PUN,1.94532342530017,1,0,28,5,1,2,0,0,1,0
25,2MASS J21522150-1932483,21h52m21.5078s,-19d32m48.339s,328.089616,-19.546761,G,28141.817824918,0.093871,UUN,1.99513613354246,1,0,6,2,1,0,0,0,0,0
26,WISEA J215221.94-193248.7,21h52m21.9433s,-19d32m48.746s,328.0914306,-19.5468739,G,28270.4293590057,0.0943000019,SUN,2.02216031945509,2,0,21,2,1,2,0,1,1,0
27,2MASS J21522197-1932486,21h52m21.9720s,-19d32m48.627s,328.09155,-19.546841,G,27601.89160806,0.09207,UUN,2.02637404466374,8,0,7,4,1,0,1,0,0,0
28,WISEA J215227.59-193411.6,21h52m27.5987s,-19d34m11.601s,328.1149948,-19.5698893,G,101463.858032726,0.338447,UUN,2.1016917216038,1,0,18,3,1,0,0,0,0,0
29,WISEA J215215.89-193643.5,21h52m15.8991s,-19d36m43.579s,328.0662466,-19.6121054,G,29961.857837436,0.099942,UUN,2.14273237940822,1,0,18,3,1,0,0,0,0,0
30,APMUKS(BJ) B214923.41-194913.9,21h52m09.9500s,-19d35m06.000s,328.04145833333,-19.585,G,31388.869937516,0.104702,UUN,2.15530428224506,1,0,1,2,1,0,0,0,0,0
31,WISEA J215212.10-193608.6,21h52m12.1085s,-19d36m08.669s,328.0504523,-19.6024082,G,28311.800148604,0.094438,UUN,2.15861074050555,3,0,28,5,2,2,0,0,1,0
32,ABELL 2384:[MSB2011] 67,21h52m22.9900s,-19d32m46.100s,328.09579166667,-19.54613888889,*,9.893151114,3.3e-05,UUN,2.16033259850685,1,0,0,1,1,0,0,0,0,0
33,2MASS J21521171-1932539,21h52m11.7189s,-19d32m53.934s,328.048829,-19.548315,G,29713.030097296,0.099112,UUN,2.48400526609406,1,0,6,2,1,0,0,0,0,0
34,WISEA J215229.34-193415.1,21h52m29.3467s,-19d34m15.179s,328.1222782,-19.5708832,G,29343.086204124,0.097878,UUN,2.49138828839265,1,0,19,4,1,0,0,0,0,0
35,WISEA J215221.00-193215.6,21h52m21.0079s,-19d32m15.695s,328.0875329,-19.5376933,G,30478.999827486,0.101667,UUN,2.49354250861147,1,0,28,4,1,2,0,0,1,0
36,WISEA J215209.32-193550.7,21h52m09.3250s,-19d35m50.790s,328.0388544,-19.5974418,*,77.046661706,0.000257,UUN,2.53651154535981,1,0,18,3,1,0,0,0,0,0
37,WISEA J215226.05-193241.1,21h52m26.0587s,-19d32m41.147s,328.1085779,-19.5447632,*,449.988479458,0.001501,UUN,2.62552903613517,1,0,19,4,1,0,0,0,0,0
38,WISEA J215225.58-193233.4,21h52m25.5873s,-19d32m33.444s,328.1066138,-19.5426234,G,25598.978196162,0.085389,UUN,2.65881809586762,1,0,19,4,1,0,0,0,0,0
39,2MASS J21521100-1932471,21h52m11.0001s,-19d32m47.162s,328.045834,-19.546434,G,28796.864345648,0.096056,UUN,2.68264921152635,1,0,6,2,1,0,0,0,0,0
40,WISEA J215208.40-193547.6,21h52m08.4078s,-19d35m47.608s,328.0350325,-19.596558,G,29418.933695998,0.098131,UUN,2.70958876502273,1,0,13,3,1,0,0,0,0,0
41,WISEA J215208.71-193319.7,21h52m08.7109s,-19d33m19.708s,328.0362957,-19.5554746,G,26359.851454566,0.087927,UUN,2.77776593358884,1,0,27,4,1,2,0,0,1,0
42,WISEA J215210.11-193248.8,21h52m10.1112s,-19d32m48.892s,328.0421302,-19.5469147,G,28336.982715076,0.094522,UUN,2.81326959689342,1,0,19,4,1,0,0,0,0,0
43,WISEA J215223.77-193717.3,21h52m23.7744s,-19d37m17.315s,328.0990602,-19.6214765,G,90297.4883496,0.3012,PUN,2.82041836243811,2,0,29,5,1,0,0,0,0,0
44,WISEA J215229.75-193322.9,21h52m29.7551s,-19d33m22.946s,328.1239797,-19.5563739,G,25288.093417216,0.084352,UUN,2.87005526586136,1,0,19,4,1,0,0,0,0,0
45,WISEA J215223.38-193152.2,21h52m23.3851s,-19d31m52.272s,328.097438,-19.5311868,G,28336.982715076,0.094522,UUN,3.02277286289674,2,0,27,4,2,2,0,0,1,0
46,WISEA J215214.87-193149.7,21h52m14.8781s,-19d31m49.725s,328.0619921,-19.5304792,G,89513.830864388,0.298586,UUN,3.03411130286562,1,0,13,3,1,0,0,0,0,0
