wavelength,qe,qe_err
0.9238500000000001,0.9238500000000001,0.00535
0.92312,0.92312,0.00526
0.92239,0.92239,0.00517
0.92166,0.92166,0.0050799999999999994
0.92093,0.92093,0.00499
0.9202,0.9202,0.0049
0.92247,0.92247,0.00504
0.92474,0.92474,0.00518
0.92701,0.92701,0.00532
0.92928,0.92928,0.00546
0.93155,0.93155,0.0056
0.93382,0.93382,0.00574
0.93609,0.93609,0.00588
0.93836,0.93836,0.00602
0.94063,0.94063,0.00616
0.9429,0.9429,0.0063
0.94273,0.94273,0.00628
0.94256,0.94256,0.00626
0.94239,0.94239,0.00624
0.94222,0.94222,0.00622
0.94205,0.94205,0.006200000000000001
0.94188,0.94188,0.006180000000000001
0.94171,0.94171,0.0061600000000000005
0.94154,0.94154,0.0061400000000000005
0.94137,0.94137,0.0061200000000000004
0.9412,0.9412,0.0061
0.93925,0.93925,0.006030000000000001
0.9373,0.9373,0.00596
0.93535,0.93535,0.00589
0.9334,0.9334,0.0058200000000000005
0.93145,0.93145,0.00575
0.9295,0.9295,0.00568
0.92755,0.92755,0.00561
0.9256,0.9256,0.005540000000000001
0.92365,0.92365,0.00547
0.9217,0.9217,0.0054
0.9208999999999999,0.9208999999999999,0.00553
0.9200999999999999,0.9200999999999999,0.00566
0.9193,0.9193,0.00579
0.9185,0.9185,0.00592
0.9177,0.9177,0.00605
0.9168999999999999,0.9168999999999999,0.00618
0.9160999999999999,0.9160999999999999,0.0063100000000000005
0.9153,0.9153,0.00644
0.9145,0.9145,0.00657
0.9137,0.9137,0.0067
0.9114,0.9114,0.0066300000000000005
0.9091,0.9091,0.00656
0.9067999999999999,0.9067999999999999,0.00649
0.9045,0.9045,0.00642
0.9022,0.9022,0.00635
0.8999,0.8999,0.00628
0.8976000000000001,0.8976000000000001,0.00621
0.8953,0.8953,0.0061400000000000005
0.893,0.893,0.00607
0.8907,0.8907,0.006
0.88885,0.88885,0.00596
0.887,0.887,0.00592
0.88515,0.88515,0.00588
0.8833,0.8833,0.00584
0.8814500000000001,0.8814500000000001,0.0058
0.8796,0.8796,0.00576
0.87775,0.87775,0.00572
0.8759,0.8759,0.00568
0.87405,0.87405,0.00564
0.8722,0.8722,0.0056
0.8698899999999999,0.8698899999999999,0.00573
0.86758,0.86758,0.00586
0.86527,0.86527,0.00599
0.86296,0.86296,0.00612
0.8606499999999999,0.8606499999999999,0.00625
0.85834,0.85834,0.00638
0.85603,0.85603,0.00651
0.8537199999999999,0.8537199999999999,0.00664
0.85141,0.85141,0.00677
0.8491,0.8491,0.0069
0.8466699999999999,0.8466699999999999,0.00681
0.84424,0.84424,0.00672
0.84181,0.84181,0.00663
0.83938,0.83938,0.00654
0.83695,0.83695,0.00645
0.8345199999999999,0.8345199999999999,0.00636
0.83209,0.83209,0.00627
0.82966,0.82966,0.00618
0.82723,0.82723,0.00609
0.8248,0.8248,0.006
0.82267,0.82267,0.00609
0.8205399999999999,0.8205399999999999,0.00618
0.81841,0.81841,0.00627
0.81628,0.81628,0.00636
0.8141499999999999,0.8141499999999999,0.00645
0.81202,0.81202,0.00654
0.80989,0.80989,0.00663
0.80776,0.80776,0.00672
0.80563,0.80563,0.00681
0.8035,0.8035,0.0069
0.80079,0.80079,0.00686
0.79808,0.79808,0.00682
0.79537,0.79537,0.00678
0.79266,0.79266,0.0067399999999999995
0.7899499999999999,0.7899499999999999,0.006699999999999999
0.7872399999999999,0.7872399999999999,0.00666
0.78453,0.78453,0.00662
0.78182,0.78182,0.00658
0.77911,0.77911,0.00654
0.7764,0.7764,0.0065
0.77372,0.77372,0.006529999999999999
0.77104,0.77104,0.00656
0.76836,0.76836,0.0065899999999999995
0.76568,0.76568,0.00662
0.763,0.763,0.00665
0.76032,0.76032,0.006679999999999999
0.75764,0.75764,0.00671
0.7549600000000001,0.7549600000000001,0.0067399999999999995
0.7522800000000001,0.7522800000000001,0.00677
0.7496,0.7496,0.0068
0.7469800000000001,0.7469800000000001,0.006829999999999999
0.74436,0.74436,0.00686
0.7417400000000001,0.7417400000000001,0.00689
0.73912,0.73912,0.00692
0.7365,0.7365,0.00695
0.7338800000000001,0.7338800000000001,0.00698
0.73126,0.73126,0.007010000000000001
0.7286400000000001,0.7286400000000001,0.00704
0.72602,0.72602,0.00707
0.7234,0.7234,0.0071
0.72028,0.72028,0.00711
0.71716,0.71716,0.0071200000000000005
0.71404,0.71404,0.00713
0.71092,0.71092,0.0071400000000000005
0.7078,0.7078,0.00715
0.7046800000000001,0.7046800000000001,0.00716
0.7015600000000001,0.7015600000000001,0.00717
