wavelength,transmission
300,0.009065002202987671
301,0.008941777016586315
302,0.008374100216756266
303,0.007361971803497525
304,0.0059053917768100905
305,0.004135268126496493
306,0.0028583276883423474
307,0.002212634898655721
308,0.0021981897574366114
309,0.0028149922646850205
310,0.004063042420400946
311,0.005942340224584392
312,0.008452885677235353
313,0.011524065260890816
314,0.015083353054864634
315,0.019130745833006536
316,0.023666243595316522
317,0.028689846341794594
318,0.034207715596440445
319,0.04087247414054874
320,0.049122658190281936
321,0.05895826774564007
322,0.0703793028066231
323,0.08230188618766204
324,0.09296377235976298
325,0.10234031848073766
326,0.11043152455058608
327,0.11723739056930824
328,0.12282114865620557
329,0.1292773550963273
330,0.13762299030922048
331,0.14785805429488516
332,0.1599825470533213
333,0.1739964685845289
334,0.18837820209978443
335,0.20066158682999388
336,0.2108125719167508
337,0.21883115736005532
338,0.2256161191073508
339,0.23224571040448388
340,0.23872211702186188
341,0.24504533895948483
342,0.25121537621735257
343,0.2572322287954652
344,0.2630958966938227
345,0.2688063799124252
346,0.27432573473384025
347,0.27948036287022804
348,0.28424878990451496
349,0.2886310158367011
350,0.29262704066678635
351,0.2962368643947708
352,0.29946048702065436
353,0.3022979085444371
354,0.304749128966119
355,0.30681414828570014
356,0.30849296650318037
357,0.30978558361855973
358,0.31069199963183824
359,0.31121221454301595
360,0.3113462283520928
361,0.311097071079282
362,0.31083168928609867
363,0.3108032197619966
364,0.3110116625069758
365,0.3114570175210362
366,0.31213928480417785
367,0.3130584643564007
368,0.3142145561777048
369,0.31560756026809017
370,0.3172374766275566
371,0.3191043052561044
372,0.32120804615373333
373,0.32354869932044344
374,0.32612626475623485
375,0.3289407424611075
376,0.3319921324350613
377,0.3351959489011415
378,0.33830243134309235
379,0.3412951830223801
380,0.3441742039390049
381,0.3469394940929666
382,0.3495910534842654
383,0.3521288821129012
384,0.35455297997887386
385,0.3568633470821836
386,0.3590599834228304
387,0.3611428890008141
388,0.3631120638161348
389,0.36496750786879256
390,0.3667092211587873
391,0.368337203686119
392,0.36985145545078774
393,0.3712519764527934
394,0.37253876669213615
395,0.3737118261688159
396,0.3747711548828325
397,0.37576029393297994
398,0.3767602019578973
399,0.37777269800433805
400,0.3787977820723024
401,0.37983545416179026
402,0.38088571427280166
403,0.3819485624053366
404,0.383023998559395
405,0.384112022734977
406,0.38521263493208246
407,0.38632583515071145
408,0.3874516233908638
409,0.3885899996525399
410,0.38974096393573937
411,0.39090451624046235
412,0.3920806565667089
413,0.39326938491447894
414,0.39447070128377243
415,0.3956846056745896
416,0.39691109808693015
417,0.39815017852079426
418,0.39940184697618186
419,0.400666103453093
420,0.40194294795152763
421,0.4032323804714858
422,0.4045334941523184
423,0.4058169865880114
424,0.40706876300161265
425,0.40828882339312206
426,0.4094771677625396
427,0.41063379610986533
428,0.41175870843509915
429,0.4128519047382412
430,0.4139133850192914
431,0.4149431492782497
432,0.4159411975151163
433,0.41690752972989087
434,0.41784214592257374
435,0.4187450460931647
436,0.41961623024166395
437,0.4204556983680712
438,0.4212634504723867
439,0.4220394865546104
440,0.42278380661474213
441,0.42349641065278215
442,0.4241772986687302
443,0.4248264706625866
444,0.42544392663435093
445,0.42602966658402364
446,0.4265836905116044
447,0.4271059984170933
448,0.4275965903004904
449,0.4280554661617957
450,0.42848262600100906
451,0.42887806981813065
452,0.4292417976131604
453,0.4295738093860983
454,0.42987410513694435
455,0.4301426848656986
456,0.43037954857236094
457,0.4305846962569315
458,0.4307582620078811
459,0.43091656914593973
460,0.43107088934132937
461,0.43122122259405005
462,0.431367568904102
463,0.43150992827148493
464,0.43164830069619897
465,0.4317826861782441
466,0.4319130847176204
467,0.4320394963143277
468,0.4321619209683662
469,0.4322803586797357
470,0.4323948094484363
471,0.4325052732744681
472,0.4326117501578309
473,0.4327142400985249
474,0.4328127430965499
475,0.43290725915190603
476,0.4329977882645933
477,0.4330843304346116
478,0.43316688566196104
479,0.4332454539466416
480,0.43332003528865326
481,0.43339062968799597
482,0.4334572371446699
483,0.4335198576586747
484,0.4335784912300107
485,0.43363313785867785
486,0.4336837975446761
487,0.4337304702880054
488,0.43377315608866585
489,0.4338443443598224
490,0.4340053318147137
491,0.43425755917220393
492,0.43460102643229337
493,0.4350357335949819
494,0.4355616806602695
495,0.4361788676281561
496,0.4368872944986419
497,0.4376869612717267
498,0.4385778679474106
499,0.43956001452569365
500,0.4405704828735989
501,0.44152770999458724
502,0.44243136279613166
503,0.4432814412782323
504,0.44407794544088897
505,0.44482087528410186
506,0.44551023080787094
507,0.44614601201219606
508,0.4467282188970773
509,0.44725685146251465
510,0.44773190970850824
511,0.4481533936350579
512,0.44852130324216366
513,0.44883563852982555
514,0.4490963994980437
515,0.44930358614681776
516,0.4494571984761481
517,0.4495572364860345
518,0.4496037001764771
519,0.4495989601476006
520,0.44955483241626204
521,0.4494729330856472
522,0.44935326215575594
523,0.4491958196265883
524,0.44900060549814413
525,0.4487676197704239
526,0.448496862443427
527,0.44818833351715387
528,0.44784203299160436
529,0.44745796086677847
530,0.4470361171426761
531,0.44657650181929753
532,0.4460791148966425
533,0.44554395637471106
534,0.44497102625350315
535,0.44436032453301905
536,0.4437118512132585
537,0.4430256062942216
538,0.4423015897759084
539,0.44153980165831863
540,0.4407402419414526
541,0.4399029106253102
542,0.43902780770989136
543,0.4381607755519096
544,0.43739929194534877
545,0.4367465555208102
546,0.43620256627829374
547,0.43576732421779946
548,0.43544082933932726
549,0.4352230816428774
550,0.4351140811284496
551,0.435113827796044
552,0.4352223216456606
553,0.4354395626772994
554,0.43576555089096036
555,0.4362002862866434
556,0.4367437688643486
557,0.4373959986240762
558,0.438044734092307
559,0.4385027015575112
560,0.43876700356828546
561,0.43883764012462995
562,0.43871461122654454
563,0.4383979168740293
564,0.43788755706708415
565,0.4371835318057092
566,0.43628584108990437
567,0.4351944849196697
568,0.4339772441905811
569,0.4328422397825763
570,0.4318040544249333
571,0.43086268811765205
572,0.43001814086073253
573,0.42927041265417465
574,0.4286195034979787
575,0.4280654133921444
576,0.42760814233667177
577,0.42724769033156107
578,0.4269840573768119
579,0.42681724347242456
580,0.42671438226337954
581,0.4266127735592056
582,0.4265108933022486
583,0.42640874149250846
584,0.4263063181299852
585,0.42620362321467886
586,0.4261006567465895
587,0.42599741872571695
588,0.4258939091520613
589,0.42579012802562266
590,0.4256860753464009
591,0.42558175111439606
592,0.425477155329608
593,0.42537228799203697
594,0.42526714910168284
595,0.42513207555024307
596,0.42492305018317145
597,0.42463966330607084
598,0.424281914918941
599,0.4238498050217823
600,0.42334333361459436
601,0.4227625006973775
602,0.42210730627013143
603,0.4213777503328563
604,0.4205738328855522
605,0.419695553928219
606,0.4187429134608568
607,0.4177159114834654
608,0.4166145479960449
609,0.4154388229985954
610,0.41418873649111687
611,0.41289307837761496
612,0.4116551708244016
613,0.41048426529963744
614,0.4093803618033225
615,0.4083434603354568
616,0.4073735608960403
617,0.4064706634850732
618,0.4056347681025553
619,0.4048658747484865
620,0.40416398342286713
621,0.4035290941256969
622,0.4029612068569759
623,0.4024603216167041
624,0.4020264384048817
625,0.4016595572215085
626,0.40131706541592155
627,0.40089401900134186
628,0.40038557128825447
629,0.3997917222766592
630,0.3991124719665562
631,0.39834782035794536
632,0.39749776745082666
633,0.39656231324520025
634,0.3955414577410659
635,0.3944352009384238
636,0.3932435428372738
637,0.39196648343761614
638,0.3906040227394506
639,0.38915616074277726
640,0.3876228974475961
641,0.38600423285390706
642,0.3843001669617104
643,0.3825343945330375
644,0.38084702174544094
645,0.37926105923652403
646,0.377776507006287
647,0.37639336505472976
648,0.3751116333818523
649,0.37393131198765467
650,0.3728524008721368
651,0.37187490003529866
652,0.3709988094771403
653,0.37022412919766196
654,0.3695508591968632
655,0.3689789994747443
656,0.3685085500313051
657,0.3681395108665458
658,0.36785818989307334
659,0.36743919028787114
660,0.3668028842836774
661,0.36594927188049253
662,0.36487835307831623
663,0.36359012787714856
664,0.3620845962769897
665,0.3603617582778394
666,0.3584216138796979
667,0.35626416308256503
668,0.3538944980000239
669,0.3515531191060904
670,0.3493718140809255
671,0.34735058292452925
672,0.3454894256369017
673,0.3437883422180428
674,0.3422473326679525
675,0.34086639698663096
676,0.339645535174078
677,0.3385847472302937
678,0.33768403315527806
679,0.336870758264763
680,0.33593996220593497
681,0.33487926534601203
682,0.3336886676849944
683,0.3323681692228818
684,0.33091776995967437
685,0.32933746989537216
686,0.3276272690299751
687,0.3257871673634832
688,0.3238171648958964
689,0.3217172616272148
690,0.31948745755743835
691,0.3171277526865671
692,0.314638147014601
693,0.3121465737093411
694,0.3098531016023211
695,0.30776010802143683
696,0.30586759296668853
697,0.30417555643807614
698,0.3026839984355997
699,0.301392918959259
700,0.3003023180090544
701,0.29941219558498555
702,0.29872255168705264
703,0.2982333863152557
704,0.2979446994695947
705,0.2978564911500695
706,0.29796876135668027
707,0.2981422785075497
708,0.2979722218406861
709,0.29743278247117616
710,0.2965239603990199
711,0.29524575562421734
712,0.29359816814676853
713,0.2915811979666735
714,0.28919484508393206
715,0.28643910949854445
716,0.2833139912105104
717,0.2798413992804462
718,0.27653056734677683
719,0.2735951496881224
720,0.2710351463044826
721,0.26885055719585776
722,0.2670413823622476
723,0.26560762180365216
724,0.26454927552007157
725,0.26386634351150573
726,0.2635588257779548
727,0.26356743291799484
728,0.26348226417653836
729,0.2632251027825034
730,0.2627959487358899
731,0.26219480203669776
732,0.2614216626849271
733,0.2604765306805781
734,0.2593594060236503
735,0.25807028871414417
736,0.2566091787520594
737,0.25497607613739615
738,0.2532689342475973
739,0.2515917515214377
740,0.24994455109719393
741,0.248327332974866
742,0.24674009715445389
743,0.2451828436359576
744,0.24365557241937708
745,0.2421582835047124
746,0.24069097689196353
747,0.2392536525811304
748,0.23784631057221317
749,0.23646895086521175
750,0.23512157346012608
751,0.23380417835695622
752,0.23251675263480576
753,0.23125834574674758
754,0.23002836894317968
755,0.22882682222410203
756,0.22765370558951462
757,0.2265090190394175
758,0.22539276257381066
759,0.22430493619269407
760,0.2232455398960677
761,0.22221457368393166
762,0.22121203755628582
763,0.22023793151313031
764,0.219292255554465
765,0.2183750096802899
766,0.2174728293930279
767,0.21653344094348823
768,0.21555155759414554
769,0.21452717934499993
770,0.21346030619605136
771,0.21235093814729977
772,0.21119907519874526
773,0.21000471735038778
774,0.20876786460222732
775,0.20748851695426385
776,0.20616667440649744
777,0.20480233695892813
778,0.2033955046115558
779,0.20194617736438047
780,0.20045435521740224
781,0.19892691834417395
782,0.19742393138507647
783,0.19595936390520957
784,0.19453321590457315
785,0.1931454873831673
786,0.19179617834099205
787,0.1904852887780473
788,0.1892128186943331
789,0.1879787680898494
790,0.18678313696459625
