wavelengths,transmission
300.000000000025,1.40266783915854e-05
301.000000000025,4.54667735316943e-05
302.000000000025,0.000135516419057041
303.000000000026,0.000136463504371015
304.000000000026,0.000137637682579739
305.000000000026,0.000139117966680562
306.000000000026,0.000140893200504358
307.000000000027,0.000142907610402734
308.000000000027,0.00014513546446733199
309.000000000027,0.00014760598962433
310.000000000027,8.41010895992648e-05
311.000000000028,5.61537069222426e-05
312.000000000028,0.000155298205963403
313.000000000028,0.00015808614936836898
314.000000000028,6.04353585951456e-05
315.000000000028,9.17325105094919e-05
316.000000000029,0.000166857195192648
317.000000000029,0.000153387636861619
318.000000000029,3.2391474941295e-05
319.000000000029,1.80772932090175e-05
320.00000000003,0.000101029824823547
321.00000000003,0.000181037290218275
322.00000000003,0.000206352979787282
323.00000000003,0.000359986153711888
324.00000000003,0.000242112937161825
325.000000000031,0.000295580122951443
326.000000000031,0.00032668067270022797
327.000000000031,0.000226843336806598
328.000000000031,0.000393921809671538
329.000000000032,0.00041609383455460004
330.000000000032,0.00020470906132836802
331.000000000032,2.23674581630763e-05
332.000000000032,2.2961143019800998e-05
333.000000000033,2.3748846674647402e-05
334.000000000033,2.33211179982354e-05
335.000000000033,0.000142696625925114
336.000000000033,0.00023361092958564
337.000000000033,0.000193264671418403
338.000000000034,2.43923538643216e-05
339.000000000034,2.62959168679029e-05
340.000000000034,2.65820873975893e-05
341.000000000034,2.68920337520126e-05
342.000000000035,2.73809461102332e-05
343.000000000035,5.02664578614865e-05
344.000000000035,0.00024602284926816196
345.000000000035,9.353876930233269e-05
346.000000000035,0.000158737076777214
347.000000000036,0.000280360253453125
348.000000000036,0.000258026978301582
349.000000000036,5.71440407195138e-05
350.000000000036,3.04996073574429e-05
351.000000000037,3.09165504976746e-05
352.000000000037,0.00010487766517189599
353.000000000037,0.000299302829388607
354.000000000037,7.7235265951251e-05
355.000000000038,3.3160785177721e-05
356.000000000038,3.36780987645545e-05
357.000000000038,3.4543549764424304e-05
358.000000000038,3.74833594427633e-05
359.000000000038,0.00028738503005719
360.000000000039,0.000384187100029482
361.000000000039,0.000409374724622504
362.000000000039,0.000352813783858486
363.000000000039,5.66100737956954e-05
364.00000000004,4.60788521960633e-05
365.00000000004,4.61649583729881e-05
366.00000000004,4.64521383151413e-05
367.00000000004,4.69554036141318e-05
368.00000000004,4.51337254681977e-05
369.000000000041,0.00036139020026332297
370.000000000041,0.00022323235944472102
371.000000000041,4.93768807596902e-05
372.000000000041,5.0252253984866795e-05
373.000000000042,5.1504801279751704e-05
374.000000000042,5.26255800793313e-05
375.000000000042,5.03263215150984e-05
376.000000000042,4.943030201096769e-05
377.000000000043,5.1049713524391405e-05
378.000000000043,5.04306834626431e-05
379.000000000043,0.000369975708594566
380.000000000043,0.000752194302043504
381.000000000043,0.000788644587066976
382.000000000044,0.000580503677137024
383.000000000044,0.0009595457037555211
384.000000000044,0.000604260099552904
385.000000000044,0.000504860747983986
386.000000000045,0.0006996747488267779
387.000000000045,0.0009157636840119459
388.000000000045,0.000497318028998826
389.000000000045,0.000903563104175573
390.000000000045,0.00103634565270307
391.000000000046,0.000841605497265371
392.000000000046,0.00051040434381134
393.000000000046,0.000474358095670808
394.000000000046,0.000509162201249236
395.000000000047,0.000524130452514316
396.000000000047,0.000528930799538906
397.000000000047,0.000629092889057831
398.000000000047,0.0009910718788990749
399.000000000048,0.000588623781240082
400.000000000048,0.0005283363734971701
401.000000000048,0.0007850548495651111
402.000000000048,0.00111344882984711
403.000000000048,0.00112844969870736
404.000000000049,0.0011129094152935
405.000000000049,0.000737861149972219
406.000000000049,0.00054612679708657
407.000000000049,0.000580150309679794
408.00000000005,0.000621767104995451
409.00000000005,0.00106375823404574
410.00000000005,0.000783618931332422
411.00000000005,0.0008640462627627001
412.00000000005,0.00118307589484381
413.000000000051,0.00113508423809145
414.000000000051,0.00119867477666007
415.000000000051,0.000821917899440476
416.000000000051,0.0009321383770327631
417.000000000052,0.00111117895004547
418.000000000052,0.000662017222600886
419.000000000052,0.000665991532479914
420.000000000052,0.00110273215512954
421.000000000053,0.0012061563915588599
422.000000000053,0.0009610033982116329
423.000000000053,0.000698148954574283
424.000000000053,0.00125492112389633
425.000000000053,0.00132039696308786
426.000000000054,0.0013979304756635699
427.000000000054,0.00139781813121694
428.000000000054,0.0013235887705461999
429.000000000054,0.0014013458289995101
430.000000000055,0.00124143237534024
431.000000000055,0.00175557356671508
432.000000000055,0.0018782179567037398
433.000000000055,0.0013373885297403602
434.000000000055,0.000633622919686267
435.000000000056,0.00135312994133883
436.000000000056,0.00146067809999639
437.000000000056,0.00113401920557573
438.000000000056,0.000772369705561812
439.000000000057,0.0008315166342812059
440.000000000057,0.00153049994680152
441.000000000057,0.0009194902856142401
442.000000000057,0.00105990060609386
443.000000000058,0.00144557339712183
444.000000000058,0.00150939760568896
445.000000000058,0.0021372493357313797
446.000000000058,0.00162916355262104
447.000000000058,0.00107274779581362
448.000000000059,0.0010710177205992398
449.000000000059,0.0014179216832451399
450.000000000059,0.000812328889073169
451.000000000059,0.00036538727324531104
452.00000000006,0.00025365494943789703
453.00000000006,0.000247627199700234
454.00000000006,0.00024029550172964502
455.00000000006,0.00023381188381214402
456.00000000006,0.000227809064369817
457.000000000061,0.00022186243147124098
458.000000000061,0.000215995825172506
459.000000000061,0.000210217938293723
460.000000000061,0.00020436687384253302
461.000000000062,0.00024263701449997297
462.000000000062,0.000257242508925195
463.000000000062,0.000249698676644115
464.000000000062,0.00024234816322269098
465.000000000063,0.00023527425929963601
466.000000000063,0.00022875640878127702
467.000000000063,0.000222799896802435
468.000000000063,0.000217560639195692
469.000000000063,0.00021342623848740898
470.000000000064,0.00025156676825708
471.000000000064,0.000232266300419938
472.000000000064,0.000210022355968906
473.000000000064,0.00022052837586279998
474.000000000065,0.000265784466582314
475.000000000065,0.000313482511561939
476.000000000065,0.000299901905558649
477.000000000065,0.00028057421134392897
478.000000000065,0.000284791743876399
479.000000000066,0.000288496450321766
480.000000000066,0.000291359847342501
481.000000000066,0.000359146987390154
482.000000000066,0.000392258501697293
483.000000000067,0.000355443921156182
484.000000000067,0.000355867286628615
485.000000000067,0.000355589638977041
486.000000000067,0.000354921871436812
487.000000000068,0.00035380920299331
488.000000000068,0.000361000795245474
489.000000000068,0.000405901278528044
490.000000000068,0.00044984794787902204
491.000000000068,0.000493058910094789
492.000000000069,0.000475752354178438
493.000000000069,0.00040650292283773396
494.000000000069,0.00044861942245349095
495.000000000069,0.00044775501990205
496.00000000007,0.000474451320838234
497.00000000007,0.000495300079543835
498.00000000007,0.000490971592461866
499.00000000007,0.000486684282124495
500.00000000007,0.00052233969834635
501.000000000071,0.000530977216851353
502.000000000071,0.000544392531981765
503.000000000071,0.0005888153854114501
504.000000000071,0.0006661686468674919
505.000000000072,0.000665026731273103
506.000000000072,0.0006588928173386039
507.000000000072,0.0006703407559881821
508.000000000072,0.000711504931779517
509.000000000073,0.0007840731532377861
510.000000000073,0.000818260585855967
511.000000000073,0.00100887532869508
512.000000000073,0.0014858737314155902
513.000000000072,0.00228374399784029
514.000000000071,0.0032814878229870297
515.00000000007,0.00443324334726441
516.00000000007,0.005703715927541731
517.000000000069,0.008129443597830181
518.000000000068,0.0254200831738156
519.000000000067,0.10042021999193301
520.000000000066,0.6693857835732079
521.000000000065,0.924302701179984
522.000000000064,0.9787892332632271
523.000000000063,0.9781870905487111
524.000000000062,0.983646039275701
525.000000000061,0.984164178922274
526.00000000006,0.985269273578959
527.00000000006,0.98613611960229
528.000000000059,0.986384664887936
529.000000000058,0.987488332878239
530.000000000057,0.9869631638930041
531.000000000056,0.9875893455387861
532.000000000055,0.987376853649797
533.000000000054,0.9855263061204199
534.000000000053,0.984301511366995
535.000000000052,0.986723079701884
536.000000000051,0.986406228934262
537.00000000005,0.985338207530581
538.00000000005,0.985352040178238
539.000000000049,0.986802937690591
540.000000000048,0.9847380692676531
541.000000000047,0.98480220629464
542.000000000046,0.9867757474756741
543.000000000045,0.9891479631496201
544.000000000044,0.9886300482922179
545.000000000043,0.988850946441708
546.000000000042,0.988976638183263
547.000000000041,0.988560126724039
548.00000000004,0.987945532720868
549.00000000004,0.9889612268903799
550.000000000039,0.989963524341181
551.000000000038,0.9893291896477039
552.000000000037,0.988169041727629
553.000000000036,0.987373866809062
554.000000000035,0.9871457677063781
555.000000000034,0.987133026766927
556.000000000033,0.986298703283497
557.000000000032,0.984385226630993
558.000000000031,0.9822892853457109
559.00000000003,0.98292200538962
560.00000000003,0.987187286238241
561.000000000029,0.9891278097482601
562.000000000028,0.988500705394727
563.000000000027,0.9867763392203941
564.000000000026,0.9878160266648599
565.000000000025,0.989776473377826
566.000000000024,0.988762163376138
567.000000000023,0.986411902077442
568.000000000022,0.9849068682207729
569.000000000021,0.9870059395733619
570.00000000002,0.9888567208479521
571.00000000002,0.988924357008223
572.000000000019,0.988732047767146
573.000000000018,0.989179434040622
574.000000000017,0.989990639880001
575.000000000016,0.9888109433958959
576.000000000015,0.987738125925655
577.000000000014,0.9875820738399921
578.000000000013,0.988211341084522
579.000000000012,0.988138156290767
580.000000000011,0.987299974641399
581.00000000001,0.987913726433077
582.00000000001,0.989275380635508
583.000000000009,0.990334410871792
584.000000000008,0.989635809389662
585.000000000007,0.9883049453024491
586.000000000006,0.9879288741290959
587.000000000005,0.988095586458387
588.000000000004,0.988296300276814
589.000000000003,0.9879769302276419
